Price,Close
Ticker,LT.NS
Date,
2021-03-05,1388.82470703125
2021-03-08,1437.83740234375
2021-03-09,1431.2900390625
2021-03-10,1446.3780517578125
2021-03-12,1436.6988525390625
2021-03-15,1407.993408203125
2021-03-16,1387.1641845703125
2021-03-17,1364.2471923828125
2021-03-18,1355.1845703125
2021-03-19,1339.1949462890625
2021-03-22,1328.5670166015625
2021-03-23,1332.6473388671875
2021-03-24,1299.2445068359375
2021-03-25,1301.094970703125
2021-03-26,1326.90625
2021-03-30,1350.8671875
2021-03-31,1346.4544677734375
2021-04-01,1370.84228515625
2021-04-05,1332.12548828125
2021-04-06,1329.468505859375
2021-04-07,1332.4576416015625
2021-04-08,1346.6917724609375
2021-04-09,1332.4100341796875
2021-04-12,1276.469970703125
2021-04-13,1303.5621337890625
2021-04-15,1304.4637451171875
2021-04-16,1289.755126953125
2021-04-19,1243.54150390625
2021-04-20,1263.516845703125
2021-04-22,1268.5462646484375
2021-04-23,1255.35595703125
2021-04-26,1267.6922607421875
2021-04-27,1310.1573486328125
2021-04-28,1305.6500244140625
2021-04-29,1289.2806396484375
2021-04-30,1272.0098876953125
2021-05-03,1273.9552001953125
2021-05-04,1269.3052978515625
2021-05-05,1270.3017578125
2021-05-06,1271.4881591796875
2021-05-07,1274.14501953125
2021-05-10,1323.7747802734375
2021-05-11,1312.956787109375
2021-05-12,1314.5699462890625
2021-05-14,1343.2281494140625
2021-05-17,1315.9459228515625
2021-05-18,1344.936279296875
2021-05-19,1331.793212890625
2021-05-20,1337.771728515625
2021-05-21,1345.6478271484375
2021-05-24,1369.5611572265625
2021-05-25,1376.8680419921875
2021-05-26,1397.6973876953125
2021-05-27,1407.139404296875
2021-05-28,1402.6317138671875
2021-05-31,1392.7628173828125
2021-06-01,1399.3580322265625
2021-06-02,1395.9417724609375
2021-06-03,1433.709716796875
2021-06-04,1459.04638671875
2021-06-07,1478.2626953125
2021-06-08,1470.05419921875
2021-06-09,1441.728271484375
2021-06-10,1442.1077880859375
2021-06-11,1426.6873779296875
2021-06-14,1438.359619140625
2021-06-15,1433.662353515625
2021-06-16,1414.7783203125
2021-06-17,1411.599365234375
2021-06-18,1400.6390380859375
2021-06-21,1392.1461181640625
2021-06-22,1422.6544189453125
2021-06-23,1403.72314453125
2021-06-24,1427.2569580078125
2021-06-25,1446.0457763671875
2021-06-28,1437.1258544921875
2021-06-29,1433.757080078125
2021-06-30,1423.935546875
2021-07-01,1416.10693359375
2021-07-02,1409.7965087890625
2021-07-05,1430.9576416015625
2021-07-06,1428.6329345703125
2021-07-07,1439.023681640625
2021-07-08,1424.0780029296875
2021-07-09,1423.0340576171875
2021-07-12,1424.12548828125
2021-07-13,1436.3192138671875
2021-07-14,1465.831298828125
2021-07-15,1527.180419921875
2021-07-16,1536.1005859375
2021-07-19,1527.417724609375
2021-07-20,1509.1505126953125
2021-07-22,1558.3057861328125
2021-07-23,1529.4578857421875
2021-07-26,1516.0302734375
2021-07-27,1526.1365966796875
2021-07-28,1529.927490234375
2021-07-29,1531.6549072265625
2021-07-30,1536.885009765625
2021-08-02,1548.881103515625
2021-08-03,1568.458740234375
2021-08-04,1557.7581787109375
2021-08-05,1561.7889404296875
2021-08-06,1545.42626953125
2021-08-09,1533.04638671875
2021-08-10,1524.4090576171875
2021-08-11,1519.4669189453125
2021-08-12,1557.9981689453125
2021-08-13,1601.1358642578125
