Price,Close
Ticker,APOLLOHOSP.NS
Date,
2021-05-04,3140.19189453125
2021-05-05,3289.884765625
2021-05-06,3303.950439453125
2021-05-07,3268.119384765625
2021-05-10,3280.802978515625
2021-05-11,3216.14892578125
2021-05-12,3155.49169921875
2021-05-14,3100.411865234375
2021-05-17,3111.6650390625
2021-05-18,3122.671142578125
2021-05-19,3188.016845703125
2021-05-20,3178.392578125
2021-05-21,3205.833740234375
2021-05-24,3219.010986328125
2021-05-25,3158.35400390625
2021-05-26,3142.511474609375
2021-05-27,3157.71240234375
2021-05-28,3108.703857421875
2021-05-31,3127.85302734375
2021-06-01,3197.986572265625
2021-06-02,3231.349853515625
2021-06-03,3381.43701171875
2021-06-04,3336.5244140625
2021-06-07,3272.51171875
2021-06-08,3246.9951171875
2021-06-09,3263.233154296875
2021-06-10,3282.777099609375
2021-06-11,3293.487548828125
2021-06-14,3306.9609375
2021-06-15,3255.731201171875
2021-06-16,3251.68408203125
2021-06-17,3198.776123046875
2021-06-18,3179.92236328125
2021-06-21,3196.20947265625
2021-06-22,3216.14892578125
2021-06-23,3202.921875
2021-06-24,3161.908203125
2021-06-25,3394.615234375
2021-06-28,3409.570068359375
2021-06-29,3544.801513671875
2021-06-30,3573.131103515625
2021-07-01,3630.974609375
2021-07-02,3685.01806640625
2021-07-05,3670.11328125
2021-07-06,3658.41650390625
2021-07-07,3667.6455078125
2021-07-08,3624.015869140625
2021-07-09,3677.812744140625
2021-07-12,3699.034912109375
2021-07-13,3701.897216796875
2021-07-14,3706.339599609375
2021-07-15,3713.7919921875
2021-07-16,3730.326416015625
2021-07-19,3833.62548828125
2021-07-20,3832.835205078125
2021-07-22,3933.86474609375
2021-07-23,3868.321533203125
2021-07-26,4047.429443359375
2021-07-27,4025.615234375
2021-07-28,3976.408203125
2021-07-29,3986.625
2021-07-30,3982.9228515625
2021-08-02,3995.903076171875
2021-08-03,4039.87841796875
2021-08-04,4013.91796875
2021-08-05,4021.1728515625
2021-08-06,4035.28857421875
2021-08-09,3952.027099609375
2021-08-10,4010.3642578125
2021-08-11,3974.384765625
2021-08-12,4079.75732421875
2021-08-13,4011.6474609375
2021-08-16,4289.02099609375
2021-08-17,4856.994140625
2021-08-18,4728.98828125
