Price,Close
Ticker,SHREECEM.NS
Date,
2021-03-02,27097.908203125
2021-03-03,27133.66796875
2021-03-04,28095.119140625
2021-03-05,27283.908203125
2021-03-08,26633.814453125
2021-03-09,26759.31640625
2021-03-10,26997.044921875
2021-03-12,27139.794921875
2021-03-15,27083.99609375
2021-03-16,26874.58203125
2021-03-17,26297.912109375
2021-03-18,26056.21875
2021-03-19,26390.5
2021-03-22,26407.94140625
2021-03-23,27738.10546875
2021-03-24,27239.525390625
2021-03-25,27021.09765625
2021-03-26,27546.080078125
2021-03-30,28504.49609375
2021-03-31,28867.923828125
2021-04-01,29344.607421875
2021-04-05,29742.669921875
2021-04-06,29503.47265625
2021-04-07,29617.65625
2021-04-08,30942.2421875
2021-04-09,31104.9765625
2021-04-12,29275.1484375
2021-04-13,29740.515625
2021-04-15,29690.892578125
2021-04-16,30196.134765625
2021-04-19,29448.263671875
2021-04-20,28726.16015625
2021-04-22,27943.603515625
2021-04-23,27536.384765625
2021-04-26,27493.568359375
2021-04-27,27528.79296875
2021-04-28,28105.84765625
2021-04-29,27867.578125
2021-04-30,27344.552734375
2021-05-03,27422.296875
2021-05-04,27190.541015625
2021-05-05,27279.595703125
2021-05-06,27173.787109375
2021-05-07,27275.484375
2021-05-10,26756.181640625
2021-05-11,26955.21484375
2021-05-12,26289.146484375
2021-05-14,26171.923828125
2021-05-17,26774.109375
2021-05-18,26917.591796875
2021-05-19,26974.412109375
2021-05-20,26952.51953125
2021-05-21,27062.54296875
2021-05-24,26363.703125
2021-05-25,26493.125
2021-05-26,26528.345703125
2021-05-27,27496.951171875
2021-05-28,27094.33203125
2021-05-31,27018.796875
2021-06-01,27063.02734375
2021-06-02,27328.291015625
2021-06-03,27773.328125
2021-06-04,27582.775390625
2021-06-07,28564.603515625
2021-06-08,28368.216796875
2021-06-09,27831.328125
2021-06-10,27653.458984375
2021-06-11,27487.1015625
2021-06-14,27759.517578125
2021-06-15,27908.287109375
2021-06-16,27652.4296875
2021-06-17,27792.875
2021-06-18,27477.109375
2021-06-21,27653.021484375
2021-06-22,28646.1640625
2021-06-23,28281.85546875
2021-06-24,28090.90625
2021-06-25,28146.5546875
2021-06-28,27814.525390625
2021-06-29,27563.962890625
2021-06-30,26946.8828125
2021-07-01,26511.248046875
2021-07-02,26467.1171875
2021-07-05,26440.369140625
2021-07-06,27206.021484375
2021-07-07,26988.423828125
2021-07-08,27022.51953125
2021-07-09,26945.07421875
2021-07-12,27466.478515625
2021-07-13,27501.2109375
2021-07-14,27838.529296875
2021-07-15,27851.0234375
2021-07-16,27526.439453125
2021-07-19,27429.15234375
2021-07-20,27513.45703125
2021-07-22,27569.51953125
2021-07-23,27477.623046875
2021-07-26,27459.8515625
2021-07-27,27358.576171875
2021-07-28,26991.66796875
2021-07-29,27136.48828125
2021-07-30,27751.89453125
2021-08-02,28761.6953125
2021-08-03,28672.59765625
2021-08-04,28603.5234375
2021-08-05,28440.052734375
2021-08-06,27870.544921875
2021-08-09,27758.962890625
2021-08-10,26624.66796875
2021-08-11,26064.8828125
2021-08-12,26109.556640625
2021-08-13,26116.818359375
2021-08-16,25506.275390625
2021-08-17,25723.943359375
2021-08-18,25848.68359375
2021-08-20,25813.189453125
2021-08-23,25513.537109375
2021-08-24,25756.048828125
2021-08-25,25810.34375
2021-08-26,26073.27734375
2021-08-27,26408.759765625
2021-08-30,26664.134765625
2021-08-31,27773.642578125
2021-09-01,27960.529296875
2021-09-02,29771.986328125
2021-09-03,29887.40234375
2021-09-06,29980.431640625
2021-09-07,30096.333984375
2021-09-08,30234.966796875
2021-09-09,30113.7578125
2021-09-13,30105.90234375
2021-09-14,30101.146484375
2021-09-15,30476.150390625
2021-09-16,30103.2578125
2021-09-17,30003.89453125
2021-09-20,29554.6640625
2021-09-21,29513.42578125
2021-09-22,29250.88671875
2021-09-23,29375.333984375
2021-09-24,28877.109375
2021-09-27,28940.140625
2021-09-28,28711.330078125
2021-09-29,28848.24609375
2021-09-30,28376.134765625
2021-10-01,28570.53515625
2021-10-04,28756.8359375
2021-10-05,28243.490234375
2021-10-06,27598.73046875
2021-10-07,27549.244140625
2021-10-08,27252.541015625
2021-10-11,27513.01953125
2021-10-12,27202.125
2021-10-13,27310.0234375
2021-10-14,27448.21484375
2021-10-18,27678.798828125
2021-10-19,27193.287109375
2021-10-20,26958.23828125
2021-10-21,27116.6015625
2021-10-22,27233.935546875
2021-10-25,26779.154296875
2021-10-26,27272.912109375
2021-10-27,27596.765625
2021-10-28,27680.515625
2021-10-29,28114.67578125
2021-11-01,28615.896484375
2021-11-02,28343.341796875
2021-11-03,28453.69921875
2021-11-04,28519.13671875
2021-11-08,28989.771484375
2021-11-09,28698.2734375
2021-11-10,28822.126953125
2021-11-11,28483.15625
